ID,day,month,year,hour,minute,second,latitude,longitude,depth,mw,mw_err,mc,cluster_id
134,6,2,1854,8,30,0,38.3833,-0.7667,0,4.381,0.294,5.25,0
135,4,11,1854,1,58,0,37.9833,-1.1333,0,4.1085,0.279,5.25,0
136,11,11,1855,4,0,0,37.8647,-1.3147,0,5.1985,0.339,5.25,0
137,9,10,1856,0,45,0,38,-1.1333,0,4.381,0.294,5.25,0
138,22,8,1858,15,0,0,38,-0.7,0,3.836,0.264,5.25,0
139,19,10,1858,0,0,0,38,-0.7,0,3.836,0.264,5.25,0
140,23,10,1858,0,30,0,36.8,-2.5,0,4.1085,0.279,5.25,70
141,23,10,1858,5,0,0,36.8,-2.5,0,3.5635,0.249,5.25,70
142,23,1,1860,0,0,0,37.6,-0.9833,0,3.291,0.234,5.25,0
143,23,3,1860,9,30,0,38,-0.7,0,3.291,0.234,5.25,0
144,19,4,1860,9,0,0,38,-0.7,0,3.836,0.264,5.25,0
145,6,7,1860,0,0,0,38,-0.7,0,3.5635,0.249,5.25,0
146,20,9,1860,14,0,0,38,-0.7,0,3.836,0.264,5.25,0
147,22,9,1860,3,30,0,37.25,-1.8667,0,4.381,0.294,5.25,0
148,7,10,1860,12,50,0,36.8333,-2.4667,0,3.836,0.264,5.25,0
149,9,10,1860,23,0,0,38,-0.7,0,3.836,0.264,5.25,105
150,13,10,1860,21,30,0,38,-0.7,0,3.836,0.264,5.25,105
151,16,10,1860,22,15,0,38,-0.7,0,3.836,0.264,5.25,0
152,5,1,1861,6,0,0,38,-0.7,0,3.291,0.234,5.25,106
153,5,1,1861,17,45,0,38,-0.7,0,3.836,0.264,5.25,106
154,11,1,1861,1,0,0,38.3333,-0.5,0,3.5635,0.249,5.25,0
155,12,1,1861,8,30,0,38,-0.7,0,3.836,0.264,5.25,0
156,3,2,1861,4,0,0,38,-0.7,0,3.836,0.264,5.25,0
157,4,3,1861,14,45,0,38,-0.7,0,3.836,0.264,5.25,0
158,19,5,1861,14,45,0,38,-0.7,0,3.836,0.264,5.25,0
159,18,9,1861,11,30,0,38,-0.7,0,3.836,0.264,5.25,0
160,25,9,1861,2,0,0,37.9833,-1.1333,0,3.5635,0.249,5.25,0
161,27,9,1861,18,15,0,38,-0.7,0,3.836,0.264,5.25,0
